"recipient_code","recipient_name","iso3","wb_name","gbd_location_name","continent","continent_name","region","region_name","subregion","subregion_name","has_worldbank_data","has_gbd_data","no_data_reason","source_12262","source_12263","source_13040","source_51010"
"AFG","Afghanistan","AFG","Afghanistan","Afghanistan","S","Asia","S4_S7","Southern and Central Asia","AFG",,TRUE,TRUE,,"own","own","own","own"
"F_X","Africa unspecified",,,,"F","Africa","F_X",,"F_X",,FALSE,FALSE,"unallocated bucket, not a place","regional (continent)","regional (continent)","regional (continent)","regional (continent)"
"ALB","Albania","ALB","Albania","Albania","E","Europe","ALB",,"ALB",,TRUE,TRUE,,"own","own","own","own"
"DZA","Algeria","DZA","Algeria","Algeria","F","Africa","F4","Northern Africa","DZA",,TRUE,TRUE,,"own","own","own","own"
"A_X","America unspecified",,,,"A","America","A_X",,"A_X",,FALSE,FALSE,"unallocated bucket, not a place","regional (continent)","regional (continent)","regional (continent)","regional (continent)"
"AGO","Angola","AGO","Angola","Angola","F","Africa","F6","Sub-Saharan Africa","F5","Middle Africa",TRUE,TRUE,,"own","own","own","own"
"AIA","Anguilla",,,,"A","America","A5","Central America and the Caribbean","A4","Caribbean",FALSE,FALSE,"small territory, not a World Bank economy","regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"ATG","Antigua and Barbuda","ATG","Antigua and Barbuda","Antigua and Barbuda","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"ARG","Argentina","ARG","Argentina","Argentina","A","America","A7","South America","ARG",,TRUE,TRUE,,"own","own","own","own"
"ARM","Armenia","ARM","Armenia","Armenia","S","Asia","S4_S7","Southern and Central Asia","ARM",,TRUE,TRUE,,"own","own","own","own"
"ABW","Aruba","ABW","Aruba",,"A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,FALSE,,"regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"S_X","Asia unspecified",,,,"S","Asia","S_X",,"S_X",,FALSE,FALSE,"unallocated bucket, not a place","regional (continent)","regional (continent)","regional (continent)","regional (continent)"
"AZE","Azerbaijan","AZE","Azerbaijan","Azerbaijan","S","Asia","S4_S7","Southern and Central Asia","AZE",,TRUE,TRUE,,"own","own","own","own"
"BHS","Bahamas","BHS","Bahamas, The","Bahamas","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"BHR","Bahrain","BHR","Bahrain","Bahrain","S","Asia","F97","Middle East","BHR",,TRUE,TRUE,,"own","own","own","own"
"BGD","Bangladesh","BGD","Bangladesh","Bangladesh","S","Asia","S4_S7","Southern and Central Asia","BGD",,TRUE,TRUE,,"own","own","own","own"
"BRB","Barbados","BRB","Barbados","Barbados","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"BLR","Belarus","BLR","Belarus","Belarus","E","Europe","BLR",,"BLR",,TRUE,TRUE,,"own","own","own","own"
"BLZ","Belize","BLZ","Belize","Belize","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
"BEN","Benin","BEN","Benin","Benin","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"BMU","Bermuda","BMU","Bermuda","Bermuda","A","America","A2","Northern America","BMU",,TRUE,TRUE,,"own","own","own","regional (continent)"
"BTN","Bhutan","BTN","Bhutan","Bhutan","S","Asia","S4_S7","Southern and Central Asia","BTN",,TRUE,TRUE,,"own","own","own","own"
"BOL","Bolivia","BOL","Bolivia","Bolivia (Plurinational State of)","A","America","A7","South America","BOL",,TRUE,TRUE,,"own","own","own","own"
"BIH","Bosnia and Herzegovina","BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","E","Europe","BIH",,"BIH",,TRUE,TRUE,,"own","own","own","own"
"BWA","Botswana","BWA","Botswana","Botswana","F","Africa","F6","Sub-Saharan Africa","F7","Southern Africa",TRUE,TRUE,,"own","own","own","own"
"BRA","Brazil","BRA","Brazil","Brazil","A","America","A7","South America","BRA",,TRUE,TRUE,,"own","own","own","own"
"VGB","British Virgin Islands","VGB","British Virgin Islands",,"A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,FALSE,,"regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"BRN","Brunei Darussalam","BRN","Brunei Darussalam","Brunei Darussalam","S","Asia","S97","Far East Asia","BRN",,TRUE,TRUE,,"own","own","own","own"
